vehicle_name,traffic_control_device,weather_condition,lighting_condition,trafficway_type,roadway_surface_cond,road_defect,crash_hour,crash_day_of_week,crash_month
Skoda Slavia,TRAFFIC SIGNAL,RAIN,DAWN,NOT DIVIDED,WET,SHOULDER DEFECT,18,6,6
Honda City,OTHER,CLOUDY/OVERCAST,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,DRY,"RUT, HOLES",7,2,12
Toyota Innova,STOP SIGN/FLASHER,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,WET,NO DEFECTS,11,7,9
Renault Kiger,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,WET,WORN SURFACE,17,7,8
Toyota Innova,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,14,7,3
Hyundai Creta,TRAFFIC SIGNAL,CLEAR,DARKNESS,OTHER,DRY,"RUT, HOLES",18,3,3
Hyundai Venue,STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",NOT REPORTED,DRY,NO DEFECTS,22,3,1
Hyundai Verna,STOP SIGN/FLASHER,CLEAR,DUSK,T-INTERSECTION,DRY,"RUT, HOLES",6,4,11
Skoda Slavia,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,DRY,NO DEFECTS,17,2,8
Tata Harrier,YIELD,RAIN,DAYLIGHT,FOUR WAY,WET,NO DEFECTS,8,4,9
Maruti Suzuki Swift,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),OTHER,OTHER,12,1,1
Skoda Slavia,NO CONTROLS,CLOUDY/OVERCAST,DUSK,T-INTERSECTION,DRY,"RUT, HOLES",1,7,12
Maruti Suzuki Wagon R,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,"SAND, MUD, DIRT",WORN SURFACE,6,2,10
Mahindra Thar,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,OTHER,"RUT, HOLES",10,4,4
Tata Nexon,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAYLIGHT,T-INTERSECTION,DRY,NO DEFECTS,11,7,3
Kia Sonet,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,WET,WORN SURFACE,21,6,3
Tata Nexon,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,18,6,5
Hyundai i20,NO CONTROLS,OTHER,DARKNESS,ONE-WAY,DRY,WORN SURFACE,22,5,7
Nissan Magnite,STOP SIGN/FLASHER,RAIN,DAYLIGHT,FOUR WAY,WET,"RUT, HOLES",16,4,7
Hyundai Venue,NO CONTROLS,CLEAR,DAYLIGHT,ONE-WAY,"SAND, MUD, DIRT",NO DEFECTS,8,4,5
Hyundai i20,NO CONTROLS,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,10,1,8
Tata Punch,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,UNKNOWN,WORN SURFACE,10,1,2
Hyundai Venue,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT","RUT, HOLES",10,7,5
Mahindra Scorpio,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",17,4,6
Hyundai Venue,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,15,1,7
Mahindra XUV700,OTHER REG. SIGN,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,DRY,WORN SURFACE,12,5,10
Tata Punch,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,7,6,3
Renault Kiger,NO CONTROLS,OTHER,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,"RUT, HOLES",0,2,7
Tata Nexon,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,8,4,8
Mahindra Scorpio,NO CONTROLS,CLEAR,DARKNESS,FOUR WAY,DRY,NO DEFECTS,5,5,1
Tata Altroz,NO CONTROLS,FOG/SMOKE/HAZE,DAWN,ONE-WAY,DRY,"RUT, HOLES",18,5,8
Mahindra Thar,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,6,4,3
Hyundai Creta,NO CONTROLS,CLOUDY/OVERCAST,UNKNOWN,ONE-WAY,DRY,DEBRIS ON ROADWAY,18,3,1
Tata Punch,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",8,1,12
Maruti Suzuki Swift,TRAFFIC SIGNAL,UNKNOWN,UNKNOWN,PARKING LOT,DRY,SHOULDER DEFECT,3,1,12
Tata Harrier,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DUSK,NOT DIVIDED,DRY,NO DEFECTS,18,4,10
Maruti Suzuki Brezza,FLASHING CONTROL SIGNAL,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",OTHER,"SAND, MUD, DIRT",NO DEFECTS,15,2,5
Kia Sonet,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,OTHER,"RUT, HOLES",8,7,2
Mahindra Thar,OTHER WARNING SIGN,RAIN,DARKNESS,"FIVE POINT, OR MORE",WET,NO DEFECTS,20,5,9
Toyota Fortuner,STOP SIGN/FLASHER,RAIN,DARKNESS,DIVIDED - W/MEDIAN BARRIER,WET,"RUT, HOLES",1,5,7
Maruti Suzuki Baleno,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,WORN SURFACE,8,4,2
Tata Nexon,LANE USE MARKING,RAIN,DAYLIGHT,NOT DIVIDED,DRY,WORN SURFACE,18,3,7
Toyota Innova,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,17,2,1
Tata Altroz,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,WET,WORN SURFACE,9,1,11
Volkswagen Virtus,NO CONTROLS,CLEAR,DARKNESS,NOT DIVIDED,DRY,"RUT, HOLES",3,5,5
Tata Harrier,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,OTHER,"RUT, HOLES",20,6,8
Maruti Suzuki Baleno,FLASHING CONTROL SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,10,7,6
Hyundai Venue,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,WET,"RUT, HOLES",8,6,7
Tata Harrier,FLASHING CONTROL SIGNAL,RAIN,DAYLIGHT,FOUR WAY,"SAND, MUD, DIRT",WORN SURFACE,14,7,8
Hyundai Creta,NO CONTROLS,OTHER,DAWN,NOT DIVIDED,DRY,WORN SURFACE,21,7,3
Nissan Magnite,NO CONTROLS,CLEAR,DARKNESS,NOT DIVIDED,WET,NO DEFECTS,1,7,12
Hyundai Verna,NO CONTROLS,CLEAR,UNKNOWN,DIVIDED - W/MEDIAN (NOT RAISED),DRY,WORN SURFACE,18,5,10
Hyundai Venue,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,UNKNOWN,NO DEFECTS,10,2,12
Mahindra Scorpio,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,SHOULDER DEFECT,13,1,11
Tata Nexon,TRAFFIC SIGNAL,RAIN,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),WET,"RUT, HOLES",18,7,8
Kia Seltos,NO CONTROLS,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,WORN SURFACE,21,3,12
Honda Amaze,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT","RUT, HOLES",8,1,1
Maruti Suzuki Wagon R,TRAFFIC SIGNAL,UNKNOWN,DAYLIGHT,OTHER,DRY,NO DEFECTS,7,4,3
Tata Punch,NO CONTROLS,CLEAR,DARKNESS,UNKNOWN INTERSECTION TYPE,DRY,"RUT, HOLES",21,6,1
Toyota Fortuner,TRAFFIC SIGNAL,RAIN,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,WET,NO DEFECTS,17,7,6
Hyundai Venue,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,8,4,6
Volkswagen Virtus,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,15,3,5
Hyundai Venue,NO CONTROLS,CLEAR,DAWN,T-INTERSECTION,DRY,WORN SURFACE,18,6,10
Renault Kiger,STOP SIGN/FLASHER,RAIN,DAYLIGHT,UNKNOWN,DRY,NO DEFECTS,18,4,6
Hyundai Creta,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,"SAND, MUD, DIRT",DEBRIS ON ROADWAY,21,1,5
Hyundai Venue,NO CONTROLS,CLEAR,DAYLIGHT,ALLEY,OTHER,NO DEFECTS,13,7,8
Kia Seltos,NO CONTROLS,CLEAR,DAYLIGHT,T-INTERSECTION,WET,OTHER,10,5,2
Mahindra XUV700,NO CONTROLS,CLEAR,DAYLIGHT,NOT REPORTED,DRY,UNKNOWN,16,1,10
Hyundai Creta,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,12,1,1
Kia Sonet,NO CONTROLS,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,UNKNOWN,UNKNOWN,16,1,12
Hyundai i20,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",SHOULDER DEFECT,13,6,10
Kia Sonet,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,FOUR WAY,DRY,NO DEFECTS,7,4,3
Tata Altroz,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,FOUR WAY,OTHER,DEBRIS ON ROADWAY,14,3,1
Tata Punch,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,CENTER TURN LANE,"SAND, MUD, DIRT",NO DEFECTS,17,2,10
Tata Nexon,STOP SIGN/FLASHER,RAIN,DARKNESS,OTHER,OTHER,NO DEFECTS,19,4,9
Nissan Magnite,YIELD,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,WET,"RUT, HOLES",9,1,9
Maruti Suzuki Wagon R,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,7,5,10
Renault Kiger,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,8,3,1
Hyundai Creta,NO CONTROLS,OTHER,DUSK,DRIVEWAY,DRY,OTHER,18,7,6
Hyundai Creta,YIELD,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,UNKNOWN,UNKNOWN,12,6,2
Tata Nexon,STOP SIGN/FLASHER,FREEZING RAIN/DRIZZLE,DAYLIGHT,T-INTERSECTION,WET,WORN SURFACE,17,1,11
Renault Kiger,NO CONTROLS,CLOUDY/OVERCAST,DARKNESS,NOT DIVIDED,DRY,"RUT, HOLES",14,2,8
